track_name,artists_name,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,0,0,0,0
Santa Tell Me,Ariana Grande,0,106,0,
It's the Most Wonderful Time of the Year,Andy Williams,0,107,0,1
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,0,1,0,0
Snowman,Sia,0,110,0,
Underneath the Tree,Kelly Clarkson,0,99,0,0
Feliz Navidad,Josï¿½ï¿½ Felic,0,3,0,0
Holly Jolly Christmas,Michael Bublï¿,0,0,0,0
Mistletoe,Justin Bieber,0,111,0,0
Sleigh Ride,The Ronettes,0,74,0,0
Seek & Destroy,SZA,0,31,0,0
Love Language,SZA,0,63,0,0
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",0,1,0,0
Used (feat. Don Toliver),"SZA, Don Toliver",0,29,0,0
A Holly Jolly Christmas - Single Version,Burl Ives,0,120,0,0
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,0,72,0,0
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,0,0,0,0
Do They Know It's Christmas? - 1984 Version,Band Aid,0,30,0,0
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",0,20,0,0
Special,SZA,0,21,0,0
Merry Christmas Everyone,Shakin' Stevens,0,35,0,0
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",0,108,0,0
SOS,SZA,0,18,0,0
Open Arms (feat. Travis Scott),"SZA, Travis Scott",4,87,0,46
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",0,79,0,0
Driving Home for Christmas - 2019 Remaster,Chris Rea,0,0,0,0
Christmas (Baby Please Come Home),Darlene Love,0,58,0,0
Gone Girl,SZA,0,17,0,0
F2F,SZA,0,9,0,0
Notice Me,SZA,0,22,0,0
Merry Christmas,"Ed Sheeran, Elton John",0,90,0,0
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",0,39,0,0
My Only Wish (This Year),Britney Spears,0,53,0,0
Antidepresan,"Mabel Matiz, Mert Demir",2,6,1,9
Wild Flower (with youjeen),RM,2,74,0,2
I Hate U,SZA,0,96,0,0
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",0,7,0,0
Deck The Hall - Remastered 1999,Nat King Cole,0,39,0,0
Smoking on my Ex Pack,SZA,0,11,0,0
Conceited,SZA,0,14,0,0
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",0,57,0,11
Maroon,Taylor Swift,0,16,0,0
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",0,0,0,0
Bejeweled,Taylor Swift,0,35,2,0
Tarot,"Bad Bunny, Jhay Cortez",20,77,2,0
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",0,56,0,0
Desesperados,"Chencho Corleone, Rauw Alejandro",34,58,7,0
Too Late,SZA,0,9,0,0
Party,"Bad Bunny, Rauw Alejandro",4,64,3,36
Run Rudolph Run - Single Version,Chuck Berry,0,30,0,1
Jingle Bells - Remastered 1999,Frank Sinatra,0,3,0,0
Far,SZA,0,15,0,0
On Time (with John Legend),"John Legend, Metro Boomin",0,2,0,2
GATï¿½ï¿½,"Maldy, Karol G",13,50,3,1
ýýýabcdefu,Gayle,0,12,18,
Sacrifice,The Weeknd,0,77,0,
Is There Someone Else?,The Weeknd,6,89,0,3
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",0,7,16,6
Out of Time,The Weeknd,0,88,0,
Do It To It,"Cherish, ACRAZE",0,63,0,11
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",0,89,0,
Pepas,Farruko,17,109,20,
How Do I Make You Love Me?,The Weeknd,0,47,0,0
Gasoline,The Weeknd,0,29,0,0
Infinity,Jaymes Young,0,0,0,0
Less Than Zero,The Weeknd,0,77,0,1
Take My Breath,The Weeknd,0,80,0,0
good 4 u,Olivia Rodrigo,6,55,1,
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",0,18,0,0
Best Friends,The Weeknd,0,18,0,0
Kiss Me More (feat. SZA),"SZA, Doja Cat",0,65,0,12
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",0,10,0,0
Need To Know,Doja Cat,0,36,0,
MONTERO (Call Me By Your Name),Lil Nas X,0,19,0,
love nwantiti (ah ah ah),Ckay,2,0,14,
Dawn FM,The Weeknd,0,8,0,0
Surface Pressure,Jessica Darrow,0,48,0,0
Starry Eyes,The Weeknd,0,17,0,0
THATS WHAT I WANT,Lil Nas X,0,7,0,4
One Right Now (with The Weeknd),"The Weeknd, Post Malone",0,18,0,1
Beggin,Mï¿½ï¿½ne,0,64,9,75
Mon Amour - Remix,"Aitana, zzoilo",2,13,0,40
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",26,65,6,0
MONEY,Lisa,13,109,0,
The Motto,"Tiï¿½ï¿½sto, Ava",6,107,0,5
Happier Than Ever,Billie Eilish,0,133,0,
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",17,172,2,
traitor,"Juan Cruz Toledo, Huilen Toledo",6,43,0,
Toxic,BoyWithUke,0,23,0,
drivers license,Olivia Rodrigo,3,61,0,
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",1,3,0,0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,5,49,1,2
Donï¿½ï¿½ï¿½t Break My,The Weeknd,0,5,0,0
Oh My God,Adele,0,7,0,0
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",3,0,0,0
A Tale By Quincy,The Weeknd,0,2,0,0
I AM WOMAN,Emmy Meli,0,0,0,0
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2,21,1,0
It'll Be Okay,Shawn Mendes,0,8,0,10
Softcore,The Neighbourhood,12,102,0,30
Super Gremlin,Kodak Black,0,15,0,1
Volvï¿,"Aventura, Bad Bunny",10,24,0,1
Todo De Ti,Rauw Alejandro,8,75,6,16
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",0,2,0,
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",0,40,0,0
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",0,14,0,1
Every Angel is Terrifying,The Weeknd,0,1,0,0
Tacones Rojos,Sebastian Yatra,9,31,5,28
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0,52,6,
Dakiti,"Bad Bunny, Jhay Cortez",21,166,9,25
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",12,4,1,3
Lï¿½ï¿½ï¿,Stromae,0,122,0,2
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",2,76,0,16
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",0,2,13,1
Life Goes On,Oliver Tree,0,15,0,
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",0,3,0,3
Butter,BTS,6,135,0,5
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",0,28,0,0
You Right,"Doja Cat, The Weeknd",0,9,0,4
deja vu,Olivia Rodrigo,4,39,0,46
Dynamite,BTS,5,163,0,
TO THE MOON,Jnr Choi,0,0,0,0
Lost in the Fire,"The Weeknd, Gesaffelstein",2,145,0,46
Salimo de Noche,"Trueno, Tiago pzk",0,5,0,0
Volando - Remix,"Sech, Bad Bunny, Mora",19,34,1,2
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0,123,0,10
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",0,43,0,3
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",0,51,1,21
Love Grows (Where My Rosemary Goes),Edison Lighthouse,0,0,0,0
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",3,93,6,4
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",0,38,0,0
Phantom Regret by Jim,The Weeknd,0,1,0,0
Dos Oruguitas,Sebastian Yatra,0,47,0,0
Freaks,Surf Curse,3,21,0,13
Acapulco,Jason Derulo,0,5,1,0
Daddy Issues,The Neighbourhood,4,70,0,3
thought i was playing,"21 Savage, Gunna",0,0,0,0
ELEVEN,IVE,1,89,0,0
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",0,27,0,
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",0,27,0,0
DANCE CRIP,Trueno,0,14,0,4
Miserable Man,David Kushner,0,0,1,0
happier,Olivia Rodrigo,4,46,0,45
Praise God,Kanye West,0,6,0,0
Get Into It (Yuh),Doja Cat,0,19,12,0
Before You Go,Lewis Capaldi,24,130,0,25
Sky,Playboi Carti,3,3,0,1
Rolling in the Deep,Adele,6,125,2,78
Sobrio,Maluma,10,76,1,1
Peru,"Ed Sheeran, Fireboy DML",0,17,0,22
favorite crime,Olivia Rodrigo,0,21,0,7
Thunder,"Prezioso, Gabry Ponte, LUM!X",10,16,0,13
The Business,Tiï¿½ï¿,0,32,0,14
positions,Ariana Grande,0,55,0,2
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,0,88,3,13
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",0,3,0,0
The Feels,TWICE,0,99,0,2
HEARTBREAK ANNIVERSARY,Giveon,4,127,0,37
No Lie,"Sean Paul, Dua Lipa",0,127,0,62
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",0,11,0,1
Pope Is a Rockstar,SALES,0,2,0,0
2055,Sleepy hallow,0,0,0,0
Bored,Billie Eilish,0,45,0,0
Happier Than Ever - Edit,Billie Eilish,0,0,0,0
Astronaut In The Ocean,Masked Wolf,0,18,0,7
Ley Seca,"Anuel Aa, Jhay Cortez",0,12,0,0
Every Summertime,NIKI,2,2,0,6
Talking To The Moon,Bruno Mars,2,0,0,0
you broke me first,Tate McRae,0,19,0,1
The Nights,Avicii,8,122,0,55
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",0,30,0,0
Cï¿½ï¿½,Rauw Alejandro,3,82,0,5
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",0,8,2,0
Dance Monkey,Tones and I,0,167,6,
Lucid Dreams,Juice WRLD,0,34,0,5
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",0,34,0,0
All of Me,John Legend,0,118,2,77
Smells Like Teen Spirit - Remastered 2021,Nirvana,9,121,4,160
Arcade,Duncan Laurence,0,47,1,
Fair Trade (with Travis Scott),"Drake, Travis Scott",6,116,0,3
Bar,"Tini, L-Gante",4,3,0,0
The Rumbling (TV Size),SiM,0,4,0,0
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",5,15,0,2
Mr. Brightside,The Killers,15,99,2,120
Blessed-Cursed,ENHYPEN,0,12,0,0
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",0,5,1,0
Streets,Doja Cat,0,87,0,12
Shallow,"Lady Gaga, Bradley Cooper",12,155,6,121
Polaroid Love,ENHYPEN,0,56,0,0
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",4,24,0,70
Permission to Dance,BTS,2,134,0,2
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",0,54,0,18
RAPSTAR,Polo G,0,12,0,0
'Till I Collapse,"Eminem, Nate Dogg",0,46,1,0
Memories,Maroon 5,2,67,1,19
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",0,0,0,0
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",0,3,0,0
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",0,21,0,0
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",0,92,0,0
Miï¿½ï¿½n,"Tini, Maria Becerra",16,23,1,0
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",0,26,0,0
MAMIII,"Karol G, Becky G",28,102,5,29
Still D.R.E.,"Dr. Dre, Snoop Dogg",0,78,1,0
Stay Alive (Prod. SUGA of BTS),Jung Kook,5,113,0,1
Boyfriend,Dove Cameron,0,0,0,2
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",0,1,0,0
The Next Episode,"Dr. Dre, Snoop Dogg",0,40,1,953
Light Switch,Charlie Puth,0,6,1,1
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",0,3,0,0
Brividi,"Mahmood, Blanco",0,1,0,0
Lost,Frank Ocean,11,27,0,4
In Da Club,50 Cent,7,106,1,35
she's all i wanna be,Tate McRae,0,12,0,12
Ginseng Strip 2002,Yung Lean,0,0,1,3
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",0,123,0,4
Notion,The Rare Occasions,0,13,0,6
Formula,Labrinth,7,85,0,1
Mount Everest,Labrinth,0,1,0,12
Excuses,"Intense, AP Dhillon, Gurinder Gill",4,21,0,0
Cigarettes,Juice WRLD,0,0,0,0
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",1,5,0,0
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",0,17,0,0
Forgot About Dre,"Eminem, Dr. Dre",0,15,0,3
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,13,1,7
Mujeriego,Ryan Castro,0,63,0,24
HUMBLE.,Kendrick Lamar,1,114,0,5
Stan,"Eminem, Dido",0,63,0,0
Contection,"GODZZ__-, Zakaria",0,45,0,1
Swim,Chase Atlantic,0,1,0,0
A Tu Merced,Bad Bunny,11,20,0,0
Numb Little Bug,Em Beihold,0,3,12,6
212,"Mainstreet, Chefin",0,0,0,0
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",0,7,0,4
Bussin,"Nicki Minaj, Lil Baby",0,0,0,0
Worst Day,Future,0,3,0,0
Malvada,Zï¿½ï¿½ Fe,0,73,0,0
Hrs and Hrs,Muni Long,0,36,13,4
Alien Blues,Vundabar,0,0,0,1
Thinking Out Loud,Ed Sheeran,0,129,0,28
Still Don't Know My Name,Labrinth,0,116,0,0
Christmas Tree,V,9,106,0,8
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,104,1,0
When I R.I.P.,Labrinth,0,67,0,0
Do We Have A Problem?,"Nicki Minaj, Lil Baby",0,1,0,0
Forever,Labrinth,0,86,0,2
Gospel (with Eminem),"Eminem, Dr. Dre",0,0,0,0
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,50,1,8
NEW MAGIC WAND,"Tyler, The Creator",0,7,0,1
Adore You,Harry Styles,1,71,2,5
La Santa,"Daddy Yankee, Bad Bunny",20,42,0,0
Something In The Way - Remastered 2021,Nirvana,0,27,0,43
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",0,2,11,0
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",4,40,9,35
Una Noche en Medellï¿½,Cris Mj,32,16,1,2
Envolver,Anitta,2,113,1,4
Starlight,Dave,3,40,1,1
Hati-Hati di Jalan,Tulus,2,4,0,0
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,0,1,0,0
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,0,1,1
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2,82,0,5
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",0,11,0,0
Jordan,Ryan Castro,2,2,1,0
Nail Tech,Jack Harlow,0,0,0,0
Chale,Eden Muï¿½ï,11,41,1,1
DARARI,Treasure,0,21,0,9
Ya No Somos Ni Seremos,Christian Nodal,16,84,7,11
Thinking with My Dick,"Kevin Gates, Juicy J",0,0,0,0
Freaky Deaky,"Tyga, Doja Cat",0,1,0,0
this is what falling in love feels like,JVKE,0,5,0,7
La Zona,Bad Bunny,0,1,0,1
Bohemian Rhapsody - Remastered 2011,Queen,3,162,8,17
Hope,XXXTENTACION,0,10,0,7
Levitating,Dua Lipa,0,82,1,1
Wake Me Up - Radio Edit,Avicii,34,160,1,46
"jealousy, jealousy",Olivia Rodrigo,0,0,0,0
Monï¿½ï¿½y so,YEAT,0,0,0,10
Demasiadas Mujeres,C. Tangana,0,2,0,14
Something Just Like This,"The Chainsmokers, Coldplay",21,188,3,30
Closer,"The Chainsmokers, Halsey",0,159,0,44
O.O,NMIXX,0,66,0,0
Somebody That I Used To Know,"Gotye, Kimbra",0,136,1,
Tom's Diner,"AnnenMayKantereit, Giant Rooks",0,48,0,3
First Class,Jack Harlow,0,32,15,12
Plan A,Paulo Londra,0,0,0,0
Fuera del mercado,Danny Ocean,21,24,1,0
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",1,3,0,0
When You're Gone,Shawn Mendes,0,11,0,14
In My Head,Lil Tjay,0,0,0,0
Wait a Minute!,Willow,0,80,3,10
LOVE DIVE,IVE,8,124,0,1
Pantysito,"Feid, Alejo, Robi",0,17,0,0
Chance,Paulo Londra,0,0,0,0
Cool for the Summer,Demi Lovato,0,5,0,6
psychofreak (feat. WILLOW),"Camila Cabello, Willow",0,0,0,0
Angel Baby,Troye Sivan,9,25,0,10
Vampiro,"Matuï¿½ï¿½, Wiu, ",4,3,0,0
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",0,0,0,0
Right On,Lil Baby,0,9,0,1
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",2,2,0,0
That's Hilarious,Charlie Puth,2,6,0,15
Soy El Unico,Yahritza Y Su Esencia,0,0,0,1
RUMBATï¿½,Daddy Yankee,0,4,0,1
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",0,0,0,0
Falling,Harry Styles,0,24,0,8
Sigue,"Ed Sheeran, J Balvin",0,8,0,0
Fim de Semana no Rio,teto,2,2,0,0
MANIAC,Stray Kids,0,188,0,0
There's Nothing Holdin' Me Back,Shawn Mendes,0,57,2,71
IDGAF (with blackbear),"Blackbear, BoyWithUke",0,2,0,1
Golden,Harry Styles,1,24,0,2
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",0,1,0,0
Ain't Shit,Doja Cat,0,6,0,1
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",0,39,0,0
Still Life,BIGBANG,0,14,0,0
Photograph,Ed Sheeran,3,105,0,84
Love Yourself,Justin Bieber,5,87,0,36
N95,Kendrick Lamar,0,16,0,206
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",0,13,0,0
Despuï¿½ï¿½s de la P,Bad Bunny,0,44,0,5
Un Ratito,Bad Bunny,6,30,1,1
United In Grief,Kendrick Lamar,0,5,0,51
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",0,0,0,0
Yo No Soy Celoso,Bad Bunny,0,21,0,0
Rich Spirit,Kendrick Lamar,0,10,0,0
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",0,28,0,0
Me Fui de Vacaciones,Bad Bunny,0,11,1,0
Silent Hill,"Kendrick Lamar, Kodak Black",0,0,0,0
La Corriente,"Tony Dize, Bad Bunny",8,25,1,0
Count Me Out,Kendrick Lamar,0,7,0,1
Andrea,"Buscabulla, Bad Bunny",0,30,1,1
Dos Mil 16,Bad Bunny,3,24,0,0
We Cry Together,"Kendrick Lamar, Taylour Paige",0,1,0,0
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",0,0,0,0
Un Coco,Bad Bunny,28,28,0,0
Otro Atardecer,"Bad Bunny, The Marï¿½ï",7,30,0,33
Worldwide Steppers,Kendrick Lamar,0,0,0,0
Aguacero,Bad Bunny,0,15,0,0
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",0,0,0,0
Un Verano Sin Ti,Bad Bunny,1,12,0,0
ULTRA SOLO,"Polima WestCoast, Pailita",0,4,1,0
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,3,25,0,0
El Apagï¿½,Bad Bunny,0,7,0,1
Callaita,"Bad Bunny, Tainy",15,116,7,0
Dua Lipa,Jack Harlow,0,0,0,0
Agosto,Bad Bunny,0,20,0,0
House Of Memories,Panic! At The Disco,0,2,0,0
Mr. Morale,"Kendrick Lamar, Tanna Leone",0,0,0,0
That That (prod. & feat. SUGA of BTS),"PSY, Suga",0,81,0,0
In The Stars,Benson Boone,8,40,1,210
Rich - Interlude,Kendrick Lamar,0,0,0,0
SUPERMODEL,Mï¿½ï¿½ne,0,12,11,3
Stefania (Kalush Orchestra),KALUSH,0,4,0,0
Thousand Miles,The Kid Laroi,0,9,0,1
Crown,Kendrick Lamar,0,0,0,0
Auntie Diaries,Kendrick Lamar,0,0,0,0
PUFFIN ON ZOOTIEZ,Future,0,42,0,0
Mirror,Kendrick Lamar,0,0,0,0
Beautiful Girl,Luciano,4,11,0,0
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",0,0,0,0
Savior - Interlude,Kendrick Lamar,0,0,0,0
Pasoori,"Shae Gill, Ali Sethi",6,22,0,0
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",0,0,0,0
TUS Lï¿½ï¿½GR,"Sech, Mora",2,16,0,5
Where Did You Go?,"MNEK, Jax Jones",0,74,1,18
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",0,3,0,0
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",0,1,0,0
ZOOM,Jessi,0,29,0,0
SloMo,Chanel,0,0,0,2
FEARLESS,LE SSERAFIM,0,75,0,0
10 Things I Hate About You,Leah Kate,0,1,0,0
SPACE MAN,Sam Ryder,0,51,0,0
With you,"HA SUNG WOON, Jimin",2,35,1,1
Iris,The Goo Goo Dolls,9,5,0,0
The Heart Part 5,Kendrick Lamar,0,0,0,0
San Lucas,Kevin Kaarl,1,0,0,0
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,0,2,0,2
Good Looking,Suki Waterhouse,0,6,0,1
Flowers,Lauren Spencer Smith,0,9,1,1
Yet To Come,BTS,0,110,0,0
Run BTS,BTS,0,132,0,3
Music For a Sushi Restaurant,Harry Styles,1,11,0,1
Matilda,Harry Styles,3,10,0,0
For Youth,BTS,0,40,0,0
Daylight,Harry Styles,0,11,0,0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0,13,0,17
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",0,0,0,0
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",0,45,0,0
Born Singer,BTS,0,18,0,0
Little Freak,Harry Styles,0,3,0,0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",3,1,0,1
True Love,"Kanye West, XXXTENTACION",0,1,1,0
Satellite,Harry Styles,5,28,0,208
Pass The Dutchie,Musical Youth,0,76,0,0
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",0,16,0,1
Love Of My Life,Harry Styles,0,2,0,0
Grapejuice,Harry Styles,0,1,0,0
So Good,Halsey,0,14,0,0
Belly Dancer,"BYOR, Imanbek",13,38,1,33
Keep Driving,Harry Styles,1,1,0,0
Cinema,Harry Styles,0,1,0,0
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",0,0,0,0
Only Love Can Hurt Like This,Paloma Faith,0,22,0,114
Hold My Hand,Lady Gaga,0,8,2,105
Daydreaming,Harry Styles,1,1,0,0
Numb,"Marshmello, Khalid",2,76,1,9
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",0,0,0,0
Me and Your Mama,Childish Gambino,0,60,1,0
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",0,73,0,5
SLOW DANCING IN THE DARK,Joji,0,79,0,1
Antes de Perderte,Duki,8,1,0,1
Boyfriends,Harry Styles,0,2,0,0
295,Sidhu Moose Wala,4,106,0,7
Tak Ingin Usai,Keisya Levronka,4,5,0,6
En El Radio Un Cochinero,Victor Cibrian,0,36,0,0
Master of Puppets (Remastered),Metallica,0,198,1,0
BREAK MY SOUL,Beyoncï¿,0,61,14,2
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",0,2,2,0
Massive,Drake,0,89,0,11
Betty (Get Money),Yung Gravy,0,2,0,1
Ojos Marrones,Lasso,11,18,1,4
POP!,Nayeon,0,21,0,2
Layla,"Schï¿½ï¿½rze, DJ R",3,124,1,0
MORE,j-hope,0,52,0,0
Sweet Child O' Mine,Guns N' Roses,1,151,3,99
Last Last,Burna Boy,12,275,3,128
Sticky,Drake,0,105,0,2
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",0,0,0,0
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",4,0,0,0
La Loto,"Anitta, Tini, Becky G",0,3,0,0
die first,Nessa Barrett,0,0,0,0
Afraid To Feel,LF System,5,55,0,101
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",2,0,0,30
cï¿½ï¿½mo dormi,Rels B,35,15,0,0
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",0,2,0,0
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",0,1,0,0
Caile,Luar La L,2,12,0,0
Si Te La Encuentras Por Ahï¿,Feid,4,10,0,0
GIVENCHY,Duki,4,18,0,0
ALIEN SUPERSTAR,Beyoncï¿,0,47,0,0
Mary On A Cross,Ghost,2,266,0,141
Attention,NewJeans,12,141,0,1
THE SHADE,Rex Orange County,6,10,0,4
"Come Back Home - From ""Purple Hearts""",Sofia Carson,0,67,0,0
El Rescate,"Grupo Marca Registrada, Junior H",4,43,1,0
Heartless,Kanye West,34,39,0,2
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",0,6,1,0
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",5,79,2,0
JGL,"Luis R Conriquez, La Adictiva",9,33,1,0
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",0,4,1,6
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",4,2,1,3
Hold Me Closer,"Elton John, Britney Spears",0,10,4,73
Forget Me,Lewis Capaldi,4,95,9,202
After LIKE,IVE,12,129,0,12
Bound 2,Kanye West,7,11,0,0
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",6,53,12,0
Talk that Talk,TWICE,0,77,1,2
BILLIE EILISH.,Armani White,0,1,11,1
