track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
A Holly Jolly Christmas - Single Version,Burl Ives,7930,108,73
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,11500,140,251
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1685,1,29
Do They Know It's Christmas? - 1984 Version,Band Aid,14169,209,449
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",1634,16,4
Special,SZA,906,6,3
Merry Christmas Everyone,Shakin' Stevens,1087,90,5
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",10585,126,406
SOS,SZA,827,6,1
Open Arms (feat. Travis Scott),"SZA, Travis Scott",1420,13,17
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",11940,73,123
Driving Home for Christmas - 2019 Remaster,Chris Rea,888,50,6
Christmas (Baby Please Come Home),Darlene Love,9122,121,212
Gone Girl,SZA,892,3,2
F2F,SZA,989,5,1
Notice Me,SZA,819,14,0
Merry Christmas,"Ed Sheeran, Elton John",2209,72,141
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",6290,89,158
My Only Wish (This Year),Britney Spears,6952,115,286
Antidepresan,"Mabel Matiz, Mert Demir",313,10,7
Wild Flower (with youjeen),RM,353,2,14
I Hate U,SZA,4094,66,43
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",880,3,10
Deck The Hall - Remastered 1999,Nat King Cole,3299,65,41
Smoking on my Ex Pack,SZA,811,6,3
Conceited,SZA,899,2,2
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2415,33,30
Maroon,Taylor Swift,2304,12,14
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",1003,21,44
Bejeweled,Taylor Swift,2699,39,22
Tarot,"Bad Bunny, Jhay Cortez",2482,27,22
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2577,108,30
Desesperados,"Chencho Corleone, Rauw Alejandro",6821,83,128
Too Late,SZA,714,0,2
Party,"Bad Bunny, Rauw Alejandro",3185,38,37
Run Rudolph Run - Single Version,Chuck Berry,8612,120,52
Jingle Bells - Remastered 1999,Frank Sinatra,4326,32,65
Far,SZA,680,2,1
On Time (with John Legend),"John Legend, Metro Boomin",398,2,6
GATï¿½ï¿½,"Maldy, Karol G",3328,39,57
ýýýabcdefu,Gayle,7215,170,575
Sacrifice,The Weeknd,4440,81,133
Is There Someone Else?,The Weeknd,2881,13,34
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",2235,65,70
Out of Time,The Weeknd,3711,49,62
Do It To It,"Cherish, ACRAZE",12403,183,465
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",2785,95,44
Pepas,Farruko,14114,252,965
How Do I Make You Love Me?,The Weeknd,1915,7,15
Gasoline,The Weeknd,2297,11,14
Infinity,Jaymes Young,4375,24,396
Less Than Zero,The Weeknd,2800,18,61
Take My Breath,The Weeknd,2597,17,38
good 4 u,Olivia Rodrigo,15563,259,461
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",1420,7,7
Best Friends,The Weeknd,1292,3,14
Kiss Me More (feat. SZA),"SZA, Doja Cat",15867,382,497
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",1178,9,9
Need To Know,Doja Cat,6672,125,150
MONTERO (Call Me By Your Name),Lil Nas X,12329,275,738
love nwantiti (ah ah ah),Ckay,5669,74,262
Dawn FM,The Weeknd,811,1,6
Surface Pressure,Jessica Darrow,1756,38,20
Starry Eyes,The Weeknd,1014,1,11
THATS WHAT I WANT,Lil Nas X,7963,173,298
One Right Now (with The Weeknd),"The Weeknd, Post Malone",4771,68,75
Beggin,Mï¿½ï¿½ne,8559,183,964
Mon Amour - Remix,"Aitana, zzoilo",3221,67,139
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3423,61,53
MONEY,Lisa,2566,44,131
The Motto,"Tiï¿½ï¿½sto, Ava",9151,240,268
Happier Than Ever,Billie Eilish,8476,138,283
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",7495,114,284
traitor,"Juan Cruz Toledo, Huilen Toledo",5257,85,134
Toxic,BoyWithUke,1795,34,118
drivers license,Olivia Rodrigo,12685,185,485
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",648,14,81
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,4635,50,30
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1184,1,6
Oh My God,Adele,4431,105,199
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",759,32,12
A Tale By Quincy,The Weeknd,733,0,2
I AM WOMAN,Emmy Meli,2795,45,107
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2780,54,57
It'll Be Okay,Shawn Mendes,1950,56,104
Softcore,The Neighbourhood,3947,33,93
Super Gremlin,Kodak Black,2551,52,35
Volvï¿,"Aventura, Bad Bunny",5375,138,133
Todo De Ti,Rauw Alejandro,11975,188,268
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",2696,42,57
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",4963,63,76
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",6734,47,90
Every Angel is Terrifying,The Weeknd,715,0,2
Tacones Rojos,Sebastian Yatra,3047,77,85
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",14140,231,612
Dakiti,"Bad Bunny, Jhay Cortez",11215,189,525
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",1678,20,15
Lï¿½ï¿½ï¿,Stromae,2035,41,394
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",2780,86,59
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",4091,105,73
Life Goes On,Oliver Tree,2868,43,116
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3643,69,70
Butter,BTS,4779,180,223
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3517,54,43
You Right,"Doja Cat, The Weeknd",5073,83,100
deja vu,Olivia Rodrigo,7545,117,141
Dynamite,BTS,8528,239,583
TO THE MOON,Jnr Choi,2979,44,159
Lost in the Fire,"The Weeknd, Gesaffelstein",7731,110,447
Salimo de Noche,"Trueno, Tiago pzk",1057,17,21
Volando - Remix,"Sech, Bad Bunny, Mora",3272,101,70
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",14417,237,569
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",5199,45,45
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",6026,171,187
Love Grows (Where My Rosemary Goes),Edison Lighthouse,2877,16,54
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",4640,81,507
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",1150,20,12
Phantom Regret by Jim,The Weeknd,768,1,3
Dos Oruguitas,Sebastian Yatra,925,24,74
Freaks,Surf Curse,3006,23,121
Acapulco,Jason Derulo,3098,111,182
Daddy Issues,The Neighbourhood,9771,42,384
thought i was playing,"21 Savage, Gunna",807,3,5
ELEVEN,IVE,521,17,11
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",12854,237,636
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",802,13,8
DANCE CRIP,Trueno,731,14,24
Miserable Man,David Kushner,788,13,32
happier,Olivia Rodrigo,3069,25,105
Praise God,Kanye West,4651,24,105
Get Into It (Yuh),Doja Cat,4999,43,73
Before You Go,Lewis Capaldi,8327,205,625
Sky,Playboi Carti,3297,25,52
Rolling in the Deep,Adele,35684,195,"6,280"
Sobrio,Maluma,3506,103,100
Peru,"Ed Sheeran, Fireboy DML",2999,60,154
favorite crime,Olivia Rodrigo,3681,20,99
Thunder,"Prezioso, Gabry Ponte, LUM!X",4846,54,259
The Business,Tiï¿½ï¿,14311,255,582
positions,Ariana Grande,8207,175,95
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,4873,65,434
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",772,7,89
The Feels,TWICE,1150,20,44
HEARTBREAK ANNIVERSARY,Giveon,5398,111,210
No Lie,"Sean Paul, Dua Lipa",7370,92,"1,219"
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",6890,122,201
Pope Is a Rockstar,SALES,1966,4,50
2055,Sleepy hallow,2226,29,44
Bored,Billie Eilish,4204,39,250
Happier Than Ever - Edit,Billie Eilish,1959,19,38
Astronaut In The Ocean,Masked Wolf,7191,146,478
Ley Seca,"Anuel Aa, Jhay Cortez",2012,101,38
Every Summertime,NIKI,1211,30,5
Talking To The Moon,Bruno Mars,7109,5,862
you broke me first,Tate McRae,6638,167,318
The Nights,Avicii,17354,92,"1,282"
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",5481,144,86
Cï¿½ï¿½,Rauw Alejandro,2636,36,39
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",824,8,8
Dance Monkey,Tones and I,24529,533,"3,595"
Lucid Dreams,Juice WRLD,14749,188,710
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",8087,92,131
All of Me,John Legend,27221,308,"4,534"
Smells Like Teen Spirit - Remastered 2021,Nirvana,49991,265,"12,367"
Arcade,Duncan Laurence,6646,107,584
Fair Trade (with Travis Scott),"Drake, Travis Scott",5403,118,96
Bar,"Tini, L-Gante",755,22,0
The Rumbling (TV Size),SiM,254,0,23
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",6308,114,63
Mr. Brightside,The Killers,51979,306,"5,063"
Blessed-Cursed,ENHYPEN,246,2,10
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",6556,93,67
Streets,Doja Cat,5728,85,179
Shallow,"Lady Gaga, Bradley Cooper",16636,368,"2,854"
Polaroid Love,ENHYPEN,461,10,17
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",4893,143,110
Permission to Dance,BTS,1801,77,74
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",12043,209,710
RAPSTAR,Polo G,4731,141,78
'Till I Collapse,"Eminem, Nate Dogg",22923,78,"2,515"
Memories,Maroon 5,9974,272,"1,066"
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",1560,72,0
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",620,17,3
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",3270,89,65
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",580,24,93
Miï¿½ï¿½n,"Tini, Maria Becerra",3406,61,70
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",903,30,15
MAMIII,"Karol G, Becky G",6809,151,175
Still D.R.E.,"Dr. Dre, Snoop Dogg",33966,141,"6,591"
Stay Alive (Prod. SUGA of BTS),Jung Kook,590,4,20
Boyfriend,Dove Cameron,3766,76,102
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",1430,46,34
The Next Episode,"Dr. Dre, Snoop Dogg",31762,142,"5,451"
Light Switch,Charlie Puth,4049,119,85
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",2096,34,30
Brividi,"Mahmood, Blanco",1175,34,31
Lost,Frank Ocean,29499,124,587
In Da Club,50 Cent,30427,235,"5,221"
she's all i wanna be,Tate McRae,2711,105,51
Ginseng Strip 2002,Yung Lean,4310,13,113
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",5342,33,7
Notion,The Rare Occasions,2393,22,65
Formula,Labrinth,3444,24,102
Mount Everest,Labrinth,5443,45,80
Excuses,"Intense, AP Dhillon, Gurinder Gill",272,7,2
Cigarettes,Juice WRLD,975,11,10
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",1034,19,12
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",18773,128,"1,663"
Forgot About Dre,"Eminem, Dr. Dre",19067,78,"1,674"
Down Under (feat. Colin Hay),"Luude, Colin Hay",3541,57,50
Mujeriego,Ryan Castro,1492,44,91
HUMBLE.,Kendrick Lamar,33206,284,"1,481"
Stan,"Eminem, Dido",17115,83,"4,180"
Contection,"GODZZ__-, Zakaria",6955,65,398
Swim,Chase Atlantic,2742,5,62
A Tu Merced,Bad Bunny,4214,21,40
Numb Little Bug,Em Beihold,2026,47,42
212,"Mainstreet, Chefin",352,10,39
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",1517,42,15
Bussin,"Nicki Minaj, Lil Baby",847,25,14
Worst Day,Future,910,20,24
Malvada,Zï¿½ï¿½ Fe,601,28,64
Hrs and Hrs,Muni Long,1800,43,46
Alien Blues,Vundabar,1930,3,28
Thinking Out Loud,Ed Sheeran,33032,363,"3,895"
Still Don't Know My Name,Labrinth,6332,47,266
Christmas Tree,V,509,8,6
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",971,35,93
When I R.I.P.,Labrinth,2578,8,66
Do We Have A Problem?,"Nicki Minaj, Lil Baby",1064,42,26
Forever,Labrinth,3618,21,138
Gospel (with Eminem),"Eminem, Dr. Dre",1040,8,29
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",15010,453,"1,785"
NEW MAGIC WAND,"Tyler, The Creator",4708,13,55
Adore You,Harry Styles,13454,246,519
La Santa,"Daddy Yankee, Bad Bunny",4890,52,100
Something In The Way - Remastered 2021,Nirvana,9514,45,"1,197"
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",3501,69,51
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",6111,185,492
Una Noche en Medellï¿½,Cris Mj,5415,46,53
Envolver,Anitta,4673,123,180
Starlight,Dave,1856,29,31
Hati-Hati di Jalan,Tulus,200,12,0
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1888,26,58
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",911,45,99
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2954,18,0
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",461,7,13
Jordan,Ryan Castro,2844,29,35
Nail Tech,Jack Harlow,2939,42,24
Chale,Eden Muï¿½ï,695,16,13
DARARI,Treasure,328,10,7
Ya No Somos Ni Seremos,Christian Nodal,866,27,32
Thinking with My Dick,"Kevin Gates, Juicy J",1550,0,14
Freaky Deaky,"Tyga, Doja Cat",1729,26,19
this is what falling in love feels like,JVKE,2005,16,43
La Zona,Bad Bunny,1188,13,15
Bohemian Rhapsody - Remastered 2011,Queen,40112,321,"5,691"
Hope,XXXTENTACION,3659,11,267
Levitating,Dua Lipa,9833,233,531
Wake Me Up - Radio Edit,Avicii,50887,315,"6,284"
"jealousy, jealousy",Olivia Rodrigo,3257,10,70
Monï¿½ï¿½y so,YEAT,1473,2,12
Demasiadas Mujeres,C. Tangana,2226,36,11
Something Just Like This,"The Chainsmokers, Coldplay",23375,336,"2,692"
Closer,"The Chainsmokers, Halsey",28032,315,"2,179"
O.O,NMIXX,290,9,10
Somebody That I Used To Know,"Gotye, Kimbra",42798,217,"6,508"
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2605,15,50
First Class,Jack Harlow,8737,163,137
Plan A,Paulo Londra,1105,32,19
Fuera del mercado,Danny Ocean,2499,68,43
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2697,55,32
When You're Gone,Shawn Mendes,2092,75,44
In My Head,Lil Tjay,1185,21,31
Wait a Minute!,Willow,11985,79,250
LOVE DIVE,IVE,753,28,13
Pantysito,"Feid, Alejo, Robi",2995,49,30
Chance,Paulo Londra,225,11,7
Cool for the Summer,Demi Lovato,9243,155,577
psychofreak (feat. WILLOW),"Camila Cabello, Willow",918,24,52
Angel Baby,Troye Sivan,1959,52,32
Vampiro,"Matuï¿½ï¿½, Wiu, ",540,26,39
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",859,14,11
Right On,Lil Baby,1116,31,15
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",273,12,4
That's Hilarious,Charlie Puth,686,11,12
Soy El Unico,Yahritza Y Su Esencia,226,5,4
RUMBATï¿½,Daddy Yankee,1264,20,52
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",870,32,49
Falling,Harry Styles,7556,124,254
Sigue,"Ed Sheeran, J Balvin",1370,46,60
Fim de Semana no Rio,teto,315,27,31
MANIAC,Stray Kids,651,6,20
There's Nothing Holdin' Me Back,Shawn Mendes,12382,229,"1,370"
IDGAF (with blackbear),"Blackbear, BoyWithUke",625,10,13
Golden,Harry Styles,8429,85,200
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",52898,203,"8,215"
Ain't Shit,Doja Cat,3436,32,46
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",918,34,30
Still Life,BIGBANG,181,16,7
Photograph,Ed Sheeran,18778,228,"2,453"
Love Yourself,Justin Bieber,22730,289,"2,430"
N95,Kendrick Lamar,5542,52,65
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",4627,38,32
Despuï¿½ï¿½s de la P,Bad Bunny,2229,27,24
Un Ratito,Bad Bunny,1112,7,13
United In Grief,Kendrick Lamar,2575,4,12
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",3107,4,22
Yo No Soy Celoso,Bad Bunny,1179,7,11
Rich Spirit,Kendrick Lamar,3486,20,33
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2942,42,43
Me Fui de Vacaciones,Bad Bunny,1443,9,22
Silent Hill,"Kendrick Lamar, Kodak Black",3028,22,23
La Corriente,"Tony Dize, Bad Bunny",1796,8,18
Count Me Out,Kendrick Lamar,2729,3,13
Andrea,"Buscabulla, Bad Bunny",1195,8,13
Dos Mil 16,Bad Bunny,892,10,11
We Cry Together,"Kendrick Lamar, Taylour Paige",1635,4,6
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",2291,9,8
Un Coco,Bad Bunny,1029,5,9
Otro Atardecer,"Bad Bunny, The Marï¿½ï",1681,10,13
Worldwide Steppers,Kendrick Lamar,1480,1,5
Aguacero,Bad Bunny,829,4,10
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",2308,7,7
Un Verano Sin Ti,Bad Bunny,1004,8,9
ULTRA SOLO,"Polima WestCoast, Pailita",1367,48,34
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1112,7,12
El Apagï¿½,Bad Bunny,1209,9,14
Callaita,"Bad Bunny, Tainy",9539,162,355
Dua Lipa,Jack Harlow,1992,35,3
Agosto,Bad Bunny,897,6,8
House Of Memories,Panic! At The Disco,2948,10,150
Mr. Morale,"Kendrick Lamar, Tanna Leone",1860,1,3
That That (prod. & feat. SUGA of BTS),"PSY, Suga",802,16,23
In The Stars,Benson Boone,2224,48,87
Rich - Interlude,Kendrick Lamar,1103,0,0
SUPERMODEL,Mï¿½ï¿½ne,2265,93,173
Stefania (Kalush Orchestra),KALUSH,555,10,4
Thousand Miles,The Kid Laroi,2050,52,46
Crown,Kendrick Lamar,1493,2,10
Auntie Diaries,Kendrick Lamar,1545,1,4
PUFFIN ON ZOOTIEZ,Future,2350,28,23
Mirror,Kendrick Lamar,1929,2,4
Beautiful Girl,Luciano,710,16,18
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",928,19,7
Savior - Interlude,Kendrick Lamar,1194,0,3
Pasoori,"Shae Gill, Ali Sethi",349,10,3
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",1890,3,2
TUS Lï¿½ï¿½GR,"Sech, Mora",1308,23,9
Where Did You Go?,"MNEK, Jax Jones",4531,135,119
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",1657,15,3
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",1351,26,17
ZOOM,Jessi,608,5,14
SloMo,Chanel,1211,31,19
FEARLESS,LE SSERAFIM,629,18,9
10 Things I Hate About You,Leah Kate,1301,23,15
SPACE MAN,Sam Ryder,1329,42,32
With you,"HA SUNG WOON, Jimin",343,4,11
Iris,The Goo Goo Dolls,13101,137,582
The Heart Part 5,Kendrick Lamar,2939,29,30
San Lucas,Kevin Kaarl,407,5,5
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1492,26,15
Good Looking,Suki Waterhouse,2264,11,25
Flowers,Lauren Spencer Smith,801,42,24
Yet To Come,BTS,829,32,26
Run BTS,BTS,736,5,17
Music For a Sushi Restaurant,Harry Styles,4449,80,66
Matilda,Harry Styles,3218,29,79
For Youth,BTS,327,5,12
Daylight,Harry Styles,2775,21,40
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,4576,79,93
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",2313,34,29
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3983,73,119
Born Singer,BTS,279,0,6
Little Freak,Harry Styles,2302,20,39
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",3559,36,31
True Love,"Kanye West, XXXTENTACION",2129,23,44
Satellite,Harry Styles,3291,43,79
Pass The Dutchie,Musical Youth,5328,54,900
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",1401,26,17
Love Of My Life,Harry Styles,1933,13,31
Grapejuice,Harry Styles,1986,7,15
So Good,Halsey,1057,51,19
Belly Dancer,"BYOR, Imanbek",5115,109,301
Keep Driving,Harry Styles,2094,8,18
Cinema,Harry Styles,2171,18,28
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",896,19,15
Only Love Can Hurt Like This,Paloma Faith,5148,90,365
Hold My Hand,Lady Gaga,2528,63,270
Daydreaming,Harry Styles,1900,15,23
Numb,"Marshmello, Khalid",3879,107,86
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",896,0,2
Me and Your Mama,Childish Gambino,8775,33,107
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",5290,139,142
SLOW DANCING IN THE DARK,Joji,10211,38,65
Antes de Perderte,Duki,584,12,8
Boyfriends,Harry Styles,1517,26,30
295,Sidhu Moose Wala,246,4,0
Tak Ingin Usai,Keisya Levronka,220,16,0
En El Radio Un Cochinero,Victor Cibrian,514,5,1
Master of Puppets (Remastered),Metallica,6080,112,406
BREAK MY SOUL,Beyoncï¿,9724,222,259
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2341,37,38
Massive,Drake,5263,66,61
Betty (Get Money),Yung Gravy,2402,45,26
Ojos Marrones,Lasso,795,26,15
POP!,Nayeon,571,19,14
Layla,"Schï¿½ï¿½rze, DJ R",832,18,24
MORE,j-hope,565,6,11
Sweet Child O' Mine,Guns N' Roses,41231,228,"6,720"
Last Last,Burna Boy,4526,156,150
Sticky,Drake,2814,38,25
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",1601,11,2
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",894,28,54
La Loto,"Anitta, Tini, Becky G",945,49,57
die first,Nessa Barrett,767,25,22
Afraid To Feel,LF System,5898,129,128
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",685,17,24
cï¿½ï¿½mo dormi,Rels B,1452,16,20
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",1456,53,33
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",2107,51,50
Caile,Luar La L,1494,17,15
Si Te La Encuentras Por Ahï¿,Feid,1379,23,18
GIVENCHY,Duki,625,13,12
ALIEN SUPERSTAR,Beyoncï¿,2688,39,36
Mary On A Cross,Ghost,2668,38,78
Attention,NewJeans,799,14,9
THE SHADE,Rex Orange County,1189,17,16
"Come Back Home - From ""Purple Hearts""",Sofia Carson,367,28,195
El Rescate,"Grupo Marca Registrada, Junior H",527,10,3
Heartless,Kanye West,17504,63,"1,315"
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",3113,54,124
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",685,15,4
JGL,"Luis R Conriquez, La Adictiva",782,15,6
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",2442,81,248
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",1112,22,65
Hold Me Closer,"Elton John, Britney Spears",4967,165,177
Forget Me,Lewis Capaldi,2520,93,84
After LIKE,IVE,767,20,11
Bound 2,Kanye West,19806,33,274
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",5153,102,113
Talk that Talk,TWICE,615,14,15
BILLIE EILISH.,Armani White,2537,49,67
Ferxxo 100,Feid,1647,20,23
KU LO SA - A COLORS SHOW,Oxlade,2019,117,107
Prohibidox,Feid,1473,25,25
Static,Steve Lacy,1613,21,13
The Scientist,Coldplay,30992,124,"7,827"
Sparks,Coldplay,10826,24,805
Talk,YEAT,920,10,8
XQ Te Pones Asï¿,"Yandel, Feid",308,6,6
Selfish,PnB Rock,2468,15,0
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",1097,18,13
Lady Mi Amor,Feid,330,3,2
Poland,Lil Yachty,1584,38,24
THE LONELIEST,Mï¿½ï¿½ne,1585,78,328
Bye Bye,"Marshmello, Juice WRLD",766,16,9
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",836,14,13
Nxde,(G)I-DLE,430,14,9
Miss You,Southstar,2020,77,119
we fell in love in october,girl in red,6858,31,15
2 Be Loved (Am I Ready),Lizzo,3682,41,158
Celestial,Ed Sheeran,1639,86,80
Typa Girl,BLACKPINK,452,2,13
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",668,0,31
California Breeze,Lil Baby,991,36,13
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",869,14,12
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",648,0,30
Major Distribution,"Drake, 21 Savage",1545,22,15
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",1930,24,17
Vigilante Shit,Taylor Swift,1948,12,16
Question...?,Taylor Swift,1608,10,12
On BS,"Drake, 21 Savage",1338,9,7
Mastermind,Taylor Swift,1936,7,13
