track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2175,69,69
Say Yes To Heaven,Lana Del Rey,2000,49,63
Snooze,SZA,2839,58,42
Summertime Sadness,Lana Del Rey,20333,89,"1,632"
Take Two,BTS,674,20,25
Lover,Taylor Swift,8448,160,163
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2110,17,19
Chemical,Post Malone,2528,56,59
Mockingbird,Eminem,12985,49,"2,394"
New Jeans,NewJeans,77,8,4
Primera Cita,Carin Leon,266,6,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",21097,384,"1,034"
Dandelions,Ruth B.,3423,41,59
Bones,Imagine Dragons,4198,98,327
Set Fire to the Rain,Adele,14739,88,"2,163"
Money Trees,"Kendrick Lamar, Jay Rock",26792,69,695
Tak Segampang Itu,Anggi Marito,213,7,0
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",58,2,4
Mine (Taylor's Version),Taylor Swift,99,21,6
Everybody Wants To Rule The World,Tears For Fears,41751,101,"2,655"
No Role Modelz,J. Cole,21164,80,476
Tattoo,Loreen,2988,74,145
Rara Vez,"Taiu, Milo j",893,19,24
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",1094,40,47
august,Taylor Swift,7324,25,61
LUNA,"Junior H, Peso Pluma",201,19,8
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",5120,161,246
Nonsense,Sabrina Carpenter,2346,69,38
Que Vuelvas,"Carin Leon, Grupo Frontera",763,21,21
Por las Noches,Peso Pluma,457,8,4
Feliz Cumpleaï¿½ï¿½os Fe,Feid,3430,45,52
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",6074,201,"6,551"
Watermelon Sugar,Harry Styles,21915,437,"1,212"
lovely - Bonus Track,"Billie Eilish, Khalid",15032,221,"1,078"
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",871,25,32
Queencard,(G)I-DLE,451,10,7
OMG,NewJeans,1783,26,15
Radio,Lana Del Rey,9389,24,282
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",5724,119,254
505,Arctic Monkeys,13985,30,588
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",1051,31,31
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",1682,24,30
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",182,3,1
Perfect,Ed Sheeran,16596,7,"2,094"
Romantic Homicide,d4vd,2335,82,50
Believer,Imagine Dragons,18986,250,"2,969"
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",283,6,26
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",293,5,30
Without Me,Eminem,21081,98,"3,889"
QUEMA,"Sog, Ryan Castro, Peso Pluma",437,17,26
Stargirl Interlude,"The Weeknd, Lana Del Rey",1275,13,5
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",6135,71,99
Somewhere Only We Know,Keane,20015,107,"5,239"
Those Eyes,New West,1507,24,44
El Gordo Trae El Mando,Chino Pacas,539,7,4
Mi Bello Angel,Natanael Cano,86,7,3
Bye,Peso Pluma,324,13,8
Danza Kuduro,"Don Omar, Lucenzo",17138,119,974
Nosso Quadro,"Ana Castela, AgroPlay",894,14,66
Locked Out Of Heaven,Bruno Mars,1622,0,356
