track_name,artists_name,artist_count,released_year,released_month,released_day
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20
Fast Car,Luke Combs,1,2023,3,24
What It Is (Solo Version),Doechii,1,2023,3,17
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8
Still With You,Jung Kook,1,2020,6,5
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12
Say Yes To Heaven,Lana Del Rey,1,2023,3,17
Snooze,SZA,1,2022,12,9
Summertime Sadness,Lana Del Rey,1,2011,1,1
Take Two,BTS,1,2023,6,9
Lover,Taylor Swift,1,2012,1,1
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2
Chemical,Post Malone,1,2023,4,14
Mockingbird,Eminem,1,2004,1,1
New Jeans,NewJeans,1,2023,7,7
Primera Cita,Carin Leon,1,2022,4,20
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10
Dandelions,Ruth B.,1,2017,4,28
Bones,Imagine Dragons,1,2021,3,11
Set Fire to the Rain,Adele,1,2011,1,1
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1
Tak Segampang Itu,Anggi Marito,1,2022,12,2
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22
Mine (Taylor's Version),Taylor Swift,1,2023,7,7
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17
No Role Modelz,J. Cole,1,2014,12,9
Tattoo,Loreen,1,2023,2,25
Rara Vez,"Taiu, Milo j",2,2023,2,8
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12
august,Taylor Swift,1,2020,7,24
LUNA,"Junior H, Peso Pluma",2,2023,6,22
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10
Nonsense,Sabrina Carpenter,1,2022,7,15
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9
Por las Noches,Peso Pluma,1,2021,6,11
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16
Watermelon Sugar,Harry Styles,1,2019,11,17
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21
Queencard,(G)I-DLE,1,2023,5,15
OMG,NewJeans,1,2023,1,2
Radio,Lana Del Rey,1,2011,1,1
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11
505,Arctic Monkeys,1,2007,4,20
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22
Perfect,Ed Sheeran,1,2017,1,1
Romantic Homicide,d4vd,1,2022,7,20
Believer,Imagine Dragons,1,2017,1,31
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1
Without Me,Eminem,1,2002,1,1
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6
Somewhere Only We Know,Keane,1,2004,1,1
Those Eyes,New West,1,2019,5,10
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27
Mi Bello Angel,Natanael Cano,1,2023,6,30
Bye,Peso Pluma,1,2023,5,26
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2
Locked Out Of Heaven,Bruno Mars,1,2012,12,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17
Counting Stars,OneRepublic,1,2013,1,1
Ghost,Justin Bieber,1,2021,3,19
Under The Influence,Chris Brown,1,2019,10,4
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23
Gasolina,Daddy Yankee,1,2004,7,13
One Dance,"Drake, WizKid, Kyla",3,2016,4,4
Enchanted,Taylor Swift,1,2010,1,1
Save Your Tears,The Weeknd,1,2020,3,20
Sure Thing,Miguel,1,2010,5,25
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6
The Night We Met,Lord Huron,1,2015,2,2
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1
When I Was Your Man,Bruno Mars,1,2012,12,5
Let Me Down Slowly,Alec Benjamin,1,2018,5,25
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1
Demons,Imagine Dragons,1,2012,1,1
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12
Reminder,The Weeknd,1,2016,11,25
Shake It Off,Taylor Swift,1,2014,1,1
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1
SNAP,Rosa Linn,1,2022,3,19
Shape of You,Ed Sheeran,1,2017,1,6
Night Changes,One Direction,1,2014,11,17
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13
Creep,Radiohead,1,1992,9,21
Car's Outside,James Arthur,1,2019,10,18
Apocalypse,Cigarettes After Sex,1,2017,3,21
Cheques,Shubh,1,2023,5,19
Pink + White,Frank Ocean,1,2016,8,20
Circles,Post Malone,1,2019,8,30
Just The Way You Are,Bruno Mars,1,2010,1,1
Take Me To Church,Hozier,1,2013,9,13
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1
Es un Secreto,Plan B,1,2010,7,20
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8
Ditto,NewJeans,1,2022,12,19
Take On Me,a-ha,1,1984,10,19
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1
Acrï¿½ï¿½s,Shakira,1,2023,5,11
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15
S-Class,Stray Kids,1,2023,6,2
Hits Different,Taylor Swift,1,2023,5,26
Chanel,"Becky G, Peso Pluma",2,2023,3,30
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2
Area Codes,"Kaliii, Kaliii",2,2023,3,17
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2
FLOWER,JISOO,1,2023,3,31
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2
Eyes Closed,Ed Sheeran,1,2023,3,23
Escapism.,"RAYE, 070 Shake",2,2022,10,12
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26
Players,Coi Leray,1,2022,11,30
Bite Me,ENHYPEN,1,2023,5,22
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26
Normal,Feid,1,2022,7,8
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1
Bad Habit,Steve Lacy,1,2022,6,29
CUFF IT,Beyoncï¿,1,2022,7,29
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5
69,"Nicky Jam, Feid",2,2023,5,18
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21
Search & Rescue,Drake,1,2023,4,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19
Lavender Haze,Taylor Swift,1,2022,10,21
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2
Efecto,Bad Bunny,1,2022,5,6
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27
Cupido,Tini,1,2023,2,14
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17
Unstoppable,Sia,1,2016,1,21
Until I Found You,Stephen Sanchez,1,2021,9,1
Rich Flex,"Drake, 21 Savage",2,2022,11,4
Easy On Me,Adele,1,2021,10,14
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14
The Real Slim Shady,Eminem,1,2000,1,1
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16
The Color Violet,Tory Lanez,1,2021,12,10
Glimpse of Us,Joji,1,2022,6,10
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4
Curtains,Ed Sheeran,1,2023,5,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1
Haegeum,Agust D,1,2023,4,21
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24
Never Felt So Alone,Labrinth,1,2023,4,7
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2
ceilings,Lizzy McAlpine,1,2022,4,8
Cupid,Fifty Fifty,1,2023,2,24
I AM,IVE,1,2023,4,10
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4
Super,SEVENTEEN,1,2023,4,24
Slut Me Out,NLE Choppa,1,2022,4,22
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23
PROVENZA,Karol G,1,2022,4,21
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3
Shivers,Ed Sheeran,1,2021,9,9
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25
Komang,Raim Laode,1,2022,8,16
DESPECHï¿,ROSALï¿½,1,2022,7,28
Made You Look,Meghan Trainor,1,2022,10,21
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5
No Se Va,Grupo Frontera,1,2022,4,28
Punto G,Quevedo,1,2022,11,4
Lovers Rock,TV Girl,1,2014,6,5
METAMORPHOSIS,INTERWORLD,1,2021,11,25
Mami Chula,"Quevedo, Jhayco",2,2023,4,27
En Paris,"El Chachito, Junior H",2,2022,12,24
Set Me Free Pt.2,Jimin,1,2023,3,17
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4
Shut Down,BLACKPINK,1,2022,9,16
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22
Call Out My Name,The Weeknd,1,2018,3,29
Like Crazy (English Version),Jimin,1,2023,3,24
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2
Sunroof,"Nicky Youre, Dazy",2,2021,12,3
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1
Superman,"Eminem, Dina Rae",2,2002,5,26
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7
REMIX EXCLUSIVO,Feid,1,2023,3,17
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22
DOGTOOTH,"Tyler, The Creator",2,2023,3,27
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31
HAPPY,NF,1,2023,3,25
La Bebe,Yng Lvcas,1,2021,12,24
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24
Late Night Talking,Harry Styles,1,2022,5,20
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20
Something in the Orange,Zach Bryan,1,2022,4,22
VOID,Melanie Martinez,1,2023,3,29
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14
Midnight Rain,Taylor Swift,1,2022,10,21
If We Ever Broke Up,Mae Stephens,1,2023,2,10
You Proof,Morgan Wallen,1,2022,5,13
LA INOCENTE,"Feid, Mora",2,2022,4,1
Malas Decisiones,Kenia OS,1,2022,10,26
Murder In My Mind,Kordhell,1,2022,1,21
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13
I Love You So,The Walters,1,2014,11,28
Dark Red,Steve Lacy,1,2017,2,20
Say You Won't Let Go,James Arthur,1,2016,9,9
The Hills,The Weeknd,1,2015,5,27
Heart To Heart,Mac DeMarco,1,2019,5,10
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25
Low,SZA,1,2022,12,9
Numb,Linkin Park,1,2003,3,24
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3
One Thing At A Time,Morgan Wallen,1,2022,12,2
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23
Everything I Love,Morgan Wallen,1,2023,1,31
Heaven,Niall Horan,1,2023,2,17
LET GO,Central Cee,1,2022,12,15
Sial,Mahalini,1,2023,1,23
I Wrote The Book,Morgan Wallen,1,2023,1,31
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31
Nobody Gets Me,SZA,1,2022,12,9
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23
Hype Boy,NewJeans,1,2022,8,1
Bloody Mary,Lady Gaga,1,2011,1,1
Monotonï¿½,"Ozuna, Shakira",2,2022,10,19
ýýý98 Braves,Morgan Wallen,1,2023,3,3
WANDA,Quevedo,1,2023,1,20
Thought You Should Know,Morgan Wallen,1,2022,5,6
In The End,Linkin Park,1,2000,10,24
Zona De Perigo,Leo Santana,1,2022,12,8
Lovezinho,Treyce,1,2022,7,28
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3
Neverita,Bad Bunny,1,2022,5,6
Vista Al Mar,Quevedo,1,2022,9,8
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3
Revenge,XXXTENTACION,1,2017,8,25
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20
Love Again,The Kid Laroi,1,2023,1,27
After Hours,The Weeknd,1,2020,2,19
About Damn Time,Lizzo,1,2022,7,15
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29
Maan Meri Jaan,King,1,2022,10,12
Moscow Mule,Bad Bunny,1,2022,5,6
